feedback coefficients,min-entropy,Lyapunov exponent,"number of 
different states"
"00100000010000	",0.526102,0.080668,8260
"00010000000001	",0.689044,0.097677,8566
"00000000011000	",0.528484,0.021667,8183
"00010000010000	",0.549013,0.070217,8438
"00100001000000	",0.463466,0.077914,8219
"00010010000000	",0.588862,0.08494,8431
"00000000100010	",0.540513,0.082219,8431
"01000000010000	",0.502159,0.088417,8342
"00000010100000	",0.653642,0.044531,8468
"00000001001000	",0.522176,0.052989,8180
"00110000000000	",0.552385,0.083279,8561
"00000001010000	",0.504176,0.091282,8074
"01100000000000	",0.507644,0.081139,8395
"00001000000010	",0.697586,0.049719,8499
"00001001000000	",0.52502,0.090655,8093
"00100000000010	",0.663111,0.051983,8258
"00010000000010	",0.527711,0.079156,8169
"01000000000001	",0.532916,0.047882,8292
"00000100000010	",0.624426,0.058202,8458
"00001000000100	",0.425788,0.090385,7345
"00000000010010	",0.578379,0.082825,8408
"00000001000001	",0.558333,0.095254,8367
"00000100010000	",0.526957,0.046095,8334
"00010001000000	",0.454762,0.073751,8283
"00000000100100	",0.463918,0.088697,7206
"01001000000000	",0.557056,0.076198,8521
"00100000001000	",0.553688,0.081138,8294
"01000000000100	",0.444908,0.081518,7931
"00000000010100	",0.471021,0.084483,7148
"01000001000000	",0.543201,0.099315,8341
"00000000000011	",0.563587,0.07544,8402
"00001000010000	",0.679603,0.089501,8322
"00100000000001	",0.651559,0.085283,8281
"00000101000000	",0.609555,0.053604,8124
"00000000001001	",0.635505,0.083055,8397
"00000000001010	",0.540981,0.076466,8406
"00010000100000	",0.619505,0.096088,8522
"00000000010001	",0.523755,0.080599,8463
"00101000000000	",0.59571,0.080268,8511
"00000011000000	",0.550718,0.09003,8006
"00000100000100	",0.454067,0.096038,7769
"00000001000100	",0.499161,0.06141,7270
"00000000001100	",0.451245,0.070388,6635
"01000000001000	",0.4751,0.08967,8398
"00100000100000	",0.597567,0.074947,8498
"00011000000000	",0.576292,0.09415,8517
"01000000100000	",0.730193,0.040653,8447
"00100100000000	",0.505223,0.078211,8366
"00000001000010	",0.597496,0.082485,8353
"00010000001000	",0.560453,0.098467,8443
"00000000100001	",0.568302,0.010496,8475
"00001010000000	",0.494477,0.100233,8242
"00000100100000	",0.704506,0.109612,8495
"00001100000000	",0.602626,0.04904,8382
"00000100000001	",0.617966,0.085698,8546
"00100010000000	",0.537938,0.103754,8273
"01000010000000	",0.512155,0.05531,8338
"00000000000101	",0.570887,0.074787,8172
"00001000100000	",0.592674,0.089291,8483
"00000001100000	",0.633259,0.0619,8363
"00001000001000	",0.539426,0.086569,8371
"01000100000000	",0.616465,0.068082,8354
"00000010001000	",0.576069,0.092292,8221
"01000000000010	",0.61374,0.084671,8354
"00010000000100	",0.43218,0.081067,8004
"00000010000010	",0.577979,0.060746,8458
"00000000101000	",0.650832,0.049535,8254
"00000000110000	",0.569377,0.079586,8096
"00000010000001	",0.694504,0.078877,8423
"00000010000100	",0.541635,0.05234,7476
"00000110000000	",0.594537,0.09863,8259
